"Time","Class","Depth to Top
mMD","Depth to Bottom
MDMD","Depth to Top
mTVD","Depth to Bottom
TVD","Highest Gas
(%)","Lowest Gas
()()","C1C1
(ppm)","C2C2
(ppm)","C3C3
(ppm)","IC4
(ppm)","IC5
(ppm)"
"00:00","drilling gas pea
k","2231","","1654.2","",".3","","1588","21","7","1","-999.99"
"00:00","drilling gas pea
k","2237","","1657.3","",".37","","2812","26","21","1","-999.99"
"00:00","drilling gas pea
k","2384","","1756.1","",".51","","3430","23","21","2","-999.99"
