"","",""
"Dist Drilled (m):","113",""
"Penetration rate (m/h):","-999.99",""
"Hole Dia (in):","8.5",""
"Pressure Test Type:","leak off test",""
"Formation strength (g/cm3):","1.73",""
"Dia Last Casing ():","",""
